subj,n_trials,converged,NLL,phi,tau,s,T0,F,sigma_rt
1501,151,True,61.02120239505414,0.4383355037501145,-5.1808084665068375,2.442225201034685,1.2224824466568467,0.17441080401771134,2.0
1502,184,True,67.52310336236134,0.30046379365791337,-1.8930133059717973,0.552013485600924,0.6180944847992327,0.24281411265845737,2.0
1503,199,True,48.63596734766501,0.20913138774361312,-1.1873533683217214,0.25209707636990314,0.7848945562929738,0.40917997598281186,2.0
1504,120,True,67.41277937820466,0.01,-0.016267448639579612,0.2183276191583789,0.899454792427051,1.1376075585958985,2.0
1505,91,True,5.990938583430204,0.3304936843494249,-2.0498563630618327,0.20859132644348988,0.03876175726452762,0.7080587690241795,2.0
1509,113,True,48.80082530716736,0.1387896825735514,-0.7503334706040014,0.25604853057230653,0.0,1.29988995559628,2.0
1512,145,True,75.93631260452221,0.012616347159057552,-0.00868207711460322,0.10168248258687329,1.2672527126696969,0.765340522484537,2.0
1517,96,True,39.29269153788816,0.452453219681184,-2.1632758830740317,0.4754691013093212,0.7489217199001644,0.8530218153990669,2.0
1518,104,True,20.60283816708518,0.43267740139978106,-2.4787859354841677,0.3499202611655364,0.957390536037923,0.1945012255354847,2.0
1521,141,True,75.65948055857905,0.10305810956995691,-4.084715084364549,5.0,0.6922171817053324,0.5944528519616226,2.0
1529,161,True,54.6916003837379,0.040966820858087324,-0.2287285455036436,0.09919281419982294,1.688036888663827,0.01,2.0
1530,191,True,56.17459782242582,0.35888549673973,-4.452568502644509,1.5322875436042667,0.9455649079836592,0.15963267921699853,2.0
1532,134,True,59.64417685179003,0.2384166722075509,-1.360038996464522,0.5773145237852552,2.2249370593216,0.01,2.0
1535,185,True,17.82692285516403,0.01,-0.13073035793806717,0.05,1.2502826669580551,0.022142775658164245,2.0
1536,141,True,78.1313255632932,0.7922533317747126,-3.244836876506395,0.8638238912760375,0.8409399303140622,0.037370827805700065,2.0
1538,150,True,57.245324970021414,0.03298901081296206,-0.2621940700883795,0.1557700213304655,1.6995233728990362,0.01,2.0
1540,130,True,32.62352090359747,0.40737175950880283,-4.004660307184124,1.0817268872746777,0.7552464000015868,0.29302089395677267,2.0
1542,136,True,55.74732421333316,0.34419214777313445,-1.4779742590081806,0.3377325461508369,1.586088582680454,0.06458276077706811,2.0
1548,86,True,44.00813282470821,0.02434372969494565,-0.052456323181379536,0.07895029540120942,2.821392689647298,0.01,2.0
1552,121,True,38.233979626473435,0.9006694349049149,-5.682386315622006,1.2296653776602835,1.4167924023456953,0.01,2.0
1557,151,True,56.91740965691771,0.08184136467942542,-0.470938908485635,0.16968686328921773,1.485952698392342,0.3201761627051452,2.0
28000,125,True,49.81372090156857,0.8994433979619633,-6.486463773661696,2.021560640969312,2.084754502751306,0.01,2.0
28234,97,True,52.18740508187053,0.1326187394865367,-0.5199958625701416,0.34358102992202405,1.7509624465871965,0.5040383438115984,2.0
28308,170,True,33.764008487093314,0.2507028057465244,-2.214633896128811,0.5241333122422849,1.3803838491879816,0.01,2.0
28309,104,True,51.916272154379726,0.01,0.04048497519398398,0.12164640123592076,2.436489343345284,0.01,2.0
28999,19,True,0.008293094976134206,1.4366691483618566,-2.841935394661081,0.05,1.0665134623256283,0.01,2.0
29212,183,True,58.127397844331824,0.05753691478310117,-0.28432336607490827,0.08904926331151419,1.4294499987552745,0.01,2.0
29220,112,True,44.848846675800885,0.15583811997812183,-0.9041518588465947,0.30748776649118215,0.0,1.151024382782433,2.0
29221,175,True,57.94458280481474,0.3312266476763714,-2.017635059691177,0.5341300135945839,1.548565753331502,0.01,2.0
29227,111,True,23.377747300569787,0.970894762087428,-6.755807782224674,1.248741789326878,1.923648970721094,0.01,2.0
29230,221,True,43.93720659768992,0.3188293732020515,-1.5991531475092633,0.22860876461080282,0.9442710308471591,0.12642364416209256,2.0
29233,175,True,3.150975534572588,0.33129833900724176,-10.0,0.05,0.8434793709202971,0.3270297455822401,2.0
29239,106,True,46.46331017108881,0.2479232003960555,-1.1535995714464513,0.291402348054388,0.7155780412563242,0.47911823848044083,2.0
29240,107,True,29.007268408404983,0.3051696675319356,-1.5747501976495166,0.2843306460289519,0.7290294350673633,0.4637559015280761,2.0
29245,108,True,27.282999719008284,0.19488930157238252,-1.1458235679752489,0.20597573870602917,0.0,1.024315606712886,2.0
29280,99,True,28.10234449077867,0.9286457850118871,-9.03762521794237,2.7084612388567977,2.1756960970384918,0.01487260590639792,2.0
29281,126,True,30.93661222090581,0.03174351354444934,-0.21913302747873373,0.07681718136401888,0.23005582048047957,1.7228917538577702,2.0
29303,156,True,63.21613500879828,0.315417058741166,-2.940282036980238,1.2562899438507464,1.6044365391530877,0.01,2.0
29305,145,True,32.347886410090155,0.11559405754257002,-0.9968137062936981,0.2602850016628282,1.6086902309377835,0.12235548766474715,2.0
29306,197,True,19.127888044034513,0.4063311568328387,-10.0,2.221094858568723,1.2306896296710874,0.07951191852322571,2.0
29307,131,True,12.180855680269847,0.33745297728346557,-2.759547637952857,0.4290129722882578,1.2473605728046702,0.2522388515830911,2.0
29310,105,True,49.120135574570284,0.04378129357068584,-0.1898670543106726,0.1007128418991102,0.7754061112865097,1.3207618560650454,2.0
29318,129,True,46.905968583292506,0.4056606459027361,-2.331834305194234,0.6487891495415812,1.7430838453576079,0.10672472140311122,2.0
29326,157,True,60.51093425233849,0.02103217472976824,-0.11233503041974172,0.07999556566812377,1.5372952289462833,0.01,2.0
29328,145,True,23.48180795827296,0.9043146558231855,-5.952166112116358,0.8043731525072733,1.6207496579815357,0.01,2.0
